Stock name,Max train val,Min train val,Train vals range,Train RMSE,Train NRMSE,Max test val,Min test val,Test vals range,TestRMSE,TestNRMSE
10_SamSungMul_028260,132375.0,105125.0,27250.0,370.9649351790039,0.013613392116660693,111375.0,95925.0,15450.0,194.5972058492673,0.012595288404483321,result-data-12.24-volume-adam/
11_ShinHan_055550,48400.00000000001,41212.5,7187.500000000007,46.405196940659465,0.006456375226526528,43912.5,39324.99999999999,4587.500000000007,44.784345388036186,0.009762255125457463,result-data-12.24-volume-adam/
12_Hyundai_MobiS_012330,249125.0,173624.99999999997,75500.00000000003,240.10736124590295,0.003180229950276859,206875.0,165125.0,41750.0,336.51664873804776,0.008060279011689767,result-data-12.24-adam/
13_SK_034730,305625.0,246625.0,59000.0,279.2609031522663,0.004733235646648581,285625.0,251750.0,33875.0,279.0416082715502,0.008237390650082664,result-data-12.24-adagrad/
14_LG_health_051900,1495750.0,1013250.0000000001,482499.9999999999,1452.738055597674,0.0030108560737775636,1211750.0,1026250.0,185500.0,1442.2491754597413,0.007774928169594293,result-data-12.24-adagrad/
15_SK_INNO_096770,226500.0,182625.0,43875.0,247.7664290276469,0.005647098097496225,214500.0,172500.0,42000.0,262.49730830115413,0.006249935911932241,result-data-12.24-volume-adam/
16_SAMSUNG_HEALTH_032830,115500.0,89649.99999999999,25850.000000000015,103.75256900255283,0.004013639032980765,93975.0,82025.0,11950.0,83.20901611316839,0.006963097582691915,result-data-12.24-adam/
17_SAMSUNG_SDS_018260,247000.0,180750.0,66250.0,330.71752494813046,0.004991962640726498,204875.0,178250.0,26625.0,300.91292629297925,0.011301893945276215,result-data-12.24-adam/
18_SAMSUNG_SDI_006400,262250.0,179250.0,83000.0,274.18317141955384,0.0033034117038500464,240625.0,199625.0,41000.0,270.9630262646906,0.006608854299138795,result-data-12.24-adam/
19_KT&G_033780,110500.0,95525.0,14975.0,127.43063440172614,0.008509558223821444,109375.0,97025.0,12350.0,133.26060813965577,0.010790332642887108,result-data-12.24-adagrad/
1_SAMSUNG_005930,53225.0,40412.5,12812.5,63.503394125715246,0.004956362468348507,45200.0,38125.0,7075.0,48.64254672419521,0.006875271621794376,result-data-12.24-volume-adam/
20_KIA_MOTOR_000270,35487.5,26287.5,9200.0,29.289885477754186,0.003183683204103716,34137.5,27112.499999999996,7025.000000000004,34.13147525688777,0.004858572990304306,result-data-12.24-adagrad/
21_SAMSUNG_INSURANCE_000810,287875.0,249500.0,38375.0,252.5497668560012,0.006581101416443028,289125.0,269000.0,20125.0,266.94646649168806,0.013264420695239159,result-data-12.24-adagrad/
22_LG_003550,81375.0,61425.0,19950.0,73.83363570740985,0.003700934120672173,75875.0,62950.0,12925.0,71.25888651581302,0.005513260078592884,result-data-12.24-adam/
23_AMOR_090430,355125.0,147500.0,207625.0,363.54712040950596,0.0017509795082938275,207875.0,146500.0,61375.0,281.9513984394769,0.0045939128055311924,result-data-12.24-adam/
24_S_OIL_010950,138750.0,100250.0,38500.0,172.16444659710925,0.004471803807717123,124375.0,101125.0,23250.0,174.8472783098282,0.007520313045584009,result-data-12.24-adagrad/
25_HANA_FIN_086790,47337.5,38487.5,8850.0,92.18726519044935,0.01041664013451405,39575.0,35500.0,4075.0,35.291667242952364,0.008660531838761316,result-data-12.24-volume-adam/
26_WOORI_FIN_000030,17387.5,15112.5,2275.0,17.444635763109968,0.0076679717640043814,16587.5,15187.5,1400.0,16.011573336847174,0.011436838097747981,result-data-12.24-volume-adagrad/
27_LG_ELEC_066570,102875.0,59025.0,43850.0,86.96840988323392,0.0019833160748742055,74575.0,61074.99999999999,13500.000000000007,73.08389160253516,0.005413621600187787,result-data-12.24-adam/
28_LOTTE_CHEM_011170,400750.0,248374.99999999997,152375.00000000003,732.7730368319818,0.0048090109061984035,297375.0,249250.0,48125.0,334.459384710115,0.006949805396573818,result-data-12.24-adam/
29_HYANDAI_HEAVY_009540,146000.0,93925.0,52075.0,201.5819038248481,0.0038709919121430263,144375.0,115750.0,28625.0,247.10096159200552,0.008632348003214167,result-data-12.24-adagrad/
2_SK_HYINX_000660,97550.0,63250.0,34300.0,83.27504215454822,0.0024278437945932426,74500.0,58175.00000000001,16324.999999999993,81.48751153642617,0.004991578042047547,result-data-12.24-adam/
30_KIUP_FIN_024110,17087.5,14250.000000000002,2837.499999999998,17.8176420212402,0.006279345205723422,15387.5,14237.5,1150.0,15.26156890089183,0.013270929479036374,result-data-12.24-volume-adam/
31_KOREA_YEN_010130,455375.0,365125.0,90250.0,402.2063503238281,0.004456580058989785,459374.99999999994,365625.0,93749.99999999994,442.9788309603304,0.004725107530243527,result-data-12.24-adagrad/
32_SAMSUNG_EL_009150,165250.0,107500.0,57750.0,214.99233768565216,0.003722811042175795,137875.0,99825.0,38050.0,292.88470025071626,0.007697364001332885,result-data-12.24-adam/
33_KANGWON_035250,30200.0,25325.0,4875.0,24.853659300663473,0.00509818652321302,34250.0,27512.5,6737.5,139.25863717769187,0.020669185480919016,result-data-12.24-adagrad/
34_LG_DISPLAY_034220,23837.5,15675.0,8162.5,27.782461191001875,0.0034036705900155435,18737.5,15962.5,2775.0,23.191964125771225,0.008357464549827468,result-data-12.24-adagrad/
35_LOTTE_004990,62925.0,46875.0,16050.0,60.17301132643942,0.003749097278905883,58200.0,47075.0,11125.0,60.166993421256024,0.0054082690715735755,result-data-12.24-adagrad/
36_LOTTE_SHOP_023530,245750.0,178000.0,67750.0,249.94169147439308,0.003689176257924621,229000.0,192125.0,36875.0,238.74951198442238,0.006474563036865692,result-data-12.24-adam/
37_HYANDAI_IRON_004020,73425.0,40600.0,32825.0,163.63438309669974,0.004985053559686207,48187.5,40800.0,7387.5,63.94145759549312,0.008655358050151354,result-data-12.24-volume-adam/
38_HYANDAI_BUILD_000720,79099.99999999999,43162.5,35937.499999999985,130.12342854269133,0.003620825837709673,60050.0,44450.0,15600.0,90.90603116070099,0.005827309689788525,result-data-12.24-adagrad/
39_HYANDAI_HEAVY_267250,443500.0,321250.0,122250.0,459.6261242203501,0.0037597228975079764,403625.0,340000.0,63625.0,465.76603894086077,0.00732048784189958,result-data-12.24-adagrad/
3_Celltrion_068270,311000.0,213125.0,97875.0,411.93951307164144,0.004208832828318175,249750.0,198625.0,51125.0,449.70263964434054,0.008796139650745048,result-data-12.24-adam/
40_AMOR_G_002790,141875.0,58199.99999999999,83675.0,479.0104802666685,0.005724654679016056,73500.0,57400.0,16100.0,129.86473958562775,0.008066132893517252,result-data-12.24-volume-adam/
41_COWAY_021240,96250.0,60300.0,35950.0,118.80696051365106,0.00330478332444092,79325.0,63000.0,16325.0,101.72515760776068,0.006231250083170639,result-data-12.24-adam/
42_HAN_ON_018880,14125.0,9612.5,4512.5,18.737487588207077,0.004152351820101291,11475.0,9682.5,1792.5,16.962694266463366,0.009463148823689465,result-data-12.24-volume-adam/
43_DB_INSURANCE_005830,74575.0,57025.0,17550.0,78.86978753453842,0.004494004987722987,74600.0,66525.0,8075.0,78.2136157795242,0.00968589669096275,result-data-12.24-adam/
44_E_MART_139480,279125.0,187625.0,91500.0,593.2575360372757,0.006483688918440172,212750.00000000003,181125.0,31625.00000000003,273.41554573244815,0.008645550853199934,result-data-12.24-adam/
45_HANKOOK_TIRE_161390,50575.0,39675.0,10900.0,47.508715197587264,0.00435859772454929,44237.5,38700.0,5537.5,56.93725782248265,0.010282123308800479,result-data-12.24-adagrad/
46_HAN_ME_128940,528250.0,368875.0,159375.0,494.15154577594853,0.003100558718594187,495375.0,378375.0,117000.0,605.2245902582337,0.005172859745796869,result-data-12.24-adagrad/
47_CJ_JAIL_097950,382750.0,308750.0,74000.0,300.4548454023946,0.004060200613545873,364000.00000000006,318000.0,46000.00000000006,303.57948819798935,0.00659955409126063,result-data-12.24-adagrad/
48_HAN_ME_SC_008930,92600.0,61700.0,30900.0,95.66503653766574,0.003095955875005364,80300.0,64600.0,15700.0,96.50242485814353,0.006146651264849906,result-data-12.24-adagrad/
49_GS_078930,63125.0,47212.5,15912.5,48.79422342239175,0.0030664083847536058,53700.0,46712.5,6987.5,50.78952022078009,0.007268625434100907,result-data-12.24-adam/
4_Hyandaimtr_005380,160375.0,103625.0,56750.0,262.7333838071852,0.004629663150787404,124375.0,92525.0,31850.0,236.92369899851838,0.0074387346624338576,result-data-12.24-adam/
50_HYUNDAI_GLOVIS_086280,168750.0,103000.0,65750.0,209.75057547861005,0.003190122820967453,134500.0,105125.0,29375.0,209.15084507168817,0.007120028768397895,result-data-12.24-adagrad/
5_LGChemical_051910,392250.0,302375.0,89875.0,355.94009078913757,0.003960390439934771,365875.0,321750.0,44125.0,335.47203120412837,0.007602765579696961,result-data-12.24-adagrad/
6_SamSungBio_207940,553250.0,350500.0,202750.0,875.4131308171607,0.004317697315990928,478000.0,282375.0,195625.0,1224.9797802998414,0.006261877471181298,result-data-12.24-sgd/
7_HanKuKElec_015760,37675.0,23850.0,13825.0,44.385796847400655,0.0032105458840796133,34462.5,26150.0,8312.5,43.65192273317312,0.005251359125795263,result-data-12.24-adagrad/
8_POSCO_005490,375875.0,246374.99999999997,129500.00000000003,411.9409556549089,0.0031810112405784466,276000.0,236250.0,39750.0,369.29057826345866,0.009290329012917199,result-data-12.24-adam/
9_KBFinace_105560,59650.0,48787.5,10862.5,59.210988114235334,0.0054509540266269585,49537.5,44287.5,5250.0,75.14040579790465,0.014312458247219934,result-data-12.24-sgd/
AVERAGE,,,,,0.004600705796599526,,,,,0.008181925087963731
